Yu Bin 12664
0.00025 - 0.05 (0.01 used here)

Cluster 0, 16 tuples  (Prof, Stat @ Berkeley)
s. grace chang, bin yu, martin vetterli,    "journals/tip/changyv00a"   ieee transactions on image processing, 2000
s. grace chang, bin yu, martin vetterli,    "journals/tip/changyv00b"   ieee transactions on image processing, 2000
antonio ortega, bin yu,    "journals/tip/yoooy99"   ieee transactions on image processing, 1999
s. grace chang, bin yu, martin vetterli,    "journals/tip/changyv00"   ieee transactions on image processing, 2000
s. grace chang, bin yu, martin vetterli,    "conf/icip/changyv98"   icip [1], 1998
s. grace chang, bin yu, martin vetterli,    "conf/icip/changyv97"   icip [1], 1997
s. grace chang, martin vetterli, bin yu,    "conf/icip/changyv98a"   icip [1], 1998
kannan ramchandran, bin yu, rnsten, wei wang,    "conf/icip/jornstenywr02"   icip [3], 2002
rnsten, bin yu,    "journals/bioinformatics/jornsteny03"   bioinformatics, 2003
bin yu, lei li,    "journals/tit/liy00"   ieee transactions on information theory, 2000
mark hansen, bin yu,    "journals/tit/hanseny00"   ieee transactions on information theory, 2000
bin yu,    "journals/tit/yu96"   ieee transactions on information theory, 1996
andrew r. barron, jorma rissanen, bin yu,    "journals/tit/barronry98"   ieee transactions on information theory, 1998
terry p. speed, bin yu,    "journals/tit/yus93"   ieee transactions on information theory, 1993
bin yu, terry p. speed, jorma rissanen,    "journals/tit/rissanensy92"   ieee transactions on information theory, 1992
bin yu,    "conf/infocom/liangy03"   infocom, 2003

Cluster 1, 13 tuples (postdoc at CMU, PhD from NCSU)
yang xu, paul scerri, bin yu, michael lewis, katia p. sycara,    "conf/atal/xusyols05"   aamas, 2005
munindar p. singh, mahadevan venkatraman, bin yu,    "journals/cacm/singhyv01"   commun. acm, 2001
cuihong li, munindar p. singh, katia p. sycara, bin yu,    "conf/atal/yulss04"   aamas, 2004
bin yu, munindar p. singh,    "conf/cikm/yus02"   cikm, 2002
munindar p. singh, bin yu,    "conf/atal/yus02"   aamas, 2002
bin yu, munindar p. singh,    "conf/atal/yus02a"   aamas, 2002
bin yu, munindar p. singh,    "conf/atal/yus03a"   aamas, 2003
bin yu, munindar p. singh,    "conf/atal/yus03"   aamas, 2003
bin yu, munindar p. singh,    "conf/ap2pc/yus03"   ap2pc, 2004
bin yu, mahadevan venkatraman, munindar p. singh,    "journals/aai/yuvs03"   applied artificial intelligence, 2003
bin yu, munindar p. singh, mahadevan venkatraman,    "conf/icmas/venkatramanys00"   icmas, 2000
munindar p. singh, bin yu,    "conf/cia/yus00"   cia, 2000
bin yu, munindar p. singh,    "journals/ci/yus02"   computational intelligence, 2002

Cluster 2, 7 tuples (MSU)
bin yu, anil k. jain,    "journals/pr/jainy98"   pattern recognition, 1998
anil k. jain, bin yu,    "journals/pami/jainy98"   ieee trans. pattern anal. mach. intell., 1998
bin yu, anil k. jain,    "journals/pami/yuj96"   ieee trans. pattern anal. mach. intell., 1996
bin yu, anil k. jain,    "conf/icdar/jainy97"   icdar, 1997
baozong yuan, bin yu,    "journals/pr/yuy93"   pattern recognition, 1993
bin yu, anil k. jain,    "journals/pr/yuj96"   pattern recognition, 1996
bin yu, anil k. jain,    "conf/icip/yuj97"   icip [2], 1997

Cluster 4, 6 tuples (CS UIUC)
klara nahrstedt, bin yu,    "conf/mm/yun03"   acm multimedia, 2003
xiaohui gu, bin yu, klara nahrstedt,    "conf/hpdc/guny04"   hpdc, 2004
bin yu, klara nahrstedt,    "journals/mms/yun04"   multimedia syst., 2004
bin yu, klara nahrstedt,    "conf/mse/yun02"   ismse, 2002
wei-ying ma, klara nahrstedt, hongjiang zhang, bin yu,    "conf/mm/yumnz03"   acm multimedia, 2003
bin yu, yixin zhao, jianping wu,    "conf/mascots/zhaowy00"   mascots, 2000

Cluster 6, 2 tuples (Dalian U of Tech)
bin yu, chun-tian cheng,    "conf/icann/xiecyz05"   icann [2], 2005
chun-tian cheng, bin yu, kwokwing chau,    "conf/aiia/yucyc05"   ai*ia, 2005
