Wei Wang 118768
0.002-0.02 (0.01 used here)

Cluster 0, 57 tuples (UNC)
wei wang, jiong yang, richard r. muntz,    "conf/vldb/wangym97"   vldb, 1997
wei wang, jiong yang,    "books/sp/datamining2005/wangy05"   NULL, 2005
jiong yang, wei wang,    "conf/icdm/yangw04"   icdm, 2004
feng pan, anthony k. h. tung, jiong yang, wei wang,    "conf/icdm/panwty05"   icdm, 2005
jan prins, wei wang, jun huan,    "conf/icdm/huanwp03"   icdm, 2003
jinze liu, wei wang, andrew b. nobel, jan prins,    "conf/icdm/liupwnp05"   icdm, 2005
jinze liu, wei wang,    "conf/icdm/liuw03"   icdm, 2003
wei wang, jinze liu,    "conf/icdm/liusw04"   icdm, 2004
wei wang, philip s. yu, jiong yang,    "conf/icdm/yangwy02"   icdm, 2002
jiong yang, wei wang, philip s. yu,    "conf/icdm/wangyy01"   icdm, 2001
richard r. muntz, wei wang, jiong yang,    "conf/icde/wangym99"   icde, 1999
jiong yang, wei wang,    "conf/icde/wangy02"   icde, 2002
wei wang, jiong yang,    "conf/icde/yangw03"   icde, 2003
wei wang, jiong yang, richard r. muntz,    "conf/icde/wangym01"   icde, 2001
wei wang, jiong yang, philip s. yu, haixun wang,    "conf/icde/yangwwy02"   icde, 2002
jiong yang, richard r. muntz, wei wang,    "conf/fodo/wangym98"   fodo, 1998
philip s. yu, wei wang, jiong yang,    "conf/kdd/yangwy00"   kdd, 2000
wei wang, philip s. yu, haixun wang, jiong yang,    "conf/bibe/yangwwy03"   bibe, 2003
jiong yang, wei wang, philip s. yu,    "conf/ssdbm/yangwy04"   ssdbm, 2004
jiong yang, wei wang, philip s. yu,    "conf/sdm/yangwy03"   sdm, 2003
jiong yang, yi xia, philip s. yu, wei wang, richard r. muntz,    "conf/sdm/xiawyym02"   sdm, 2002
jiong yang, wei wang, richard r. muntz,    "conf/sigmetrics/yangwm00"   sigmetrics, 2000
jiong yang, wei wang, philip s. yu,    "conf/kdd/yangwy01"   kdd, 2001
jun huan, alexander tropsha, wei wang, jan prins,    "conf/psb/huanwwpst04"   pacific symposium on biocomputing, 2004
jiong yang, silvia nittel, wei wang, richard r. muntz,    "conf/pos/yangnwm98"   NULL, 1999
jan prins, jiong yang, jun huan, wei wang,    "conf/kdd/huanwpy04"   kdd, 2004
jiong yang, jinze liu, wei wang,    "conf/kdd/liuwy04"   kdd, 2004
philip s. yu, jiong yang, wei wang,    "conf/kdd/wangyy00"   kdd, 2000
jinze liu, wei wang, jiong yang,    "conf/csb/liuyw04"   csb, 2004
jun huan, deepak bandyopadhyay, jan prins, alexander tropsha, wei wang, jack snoeyink,    "conf/recomb/huanwbspt04"   recomb, 2004
haixun wang, wei wang, jiong yang, philip s. yu,    "conf/sigmod/wangwyy02"   sigmod conference, 2002
jiong yang, hwanjo yu, wei wang, jiawei han,    "conf/csb/yuywh03"   csb, 2003
wei wang, jiong yang, jinze liu,    "conf/csb/liuwy04"   csb, 2004
jiong yang, wei wang, philip s. yu, jiawei han,    "conf/sigmod/yangwyh02"   sigmod conference, 2002
wei wang, jiong yang,    "conf/csb/yangw02"   csb, 2002
wei wang, philip s. yu, yi xia, jiong yang,    "conf/csb/yangwxy02"   csb, 2002
wei wang, todd j. vision, jun huan, jan prins,    "conf/csb/huanpwv03"   csb, 2003
haixun wang, wei wang,    "conf/dasfaa/wangw05"   dasfaa, 2005
donghui zhang, jian pei, jun yang, li chen, yufei tao, haixun wang, zhiyuan chen, wei wang, jiong yang,    "journals/jcst/chencptwwyyz03"   j. comput. sci. technol., 2003
wei wang, jiong yang, philip s. yu,    "journals/sigkdd/wangyy00"   sigkdd explorations, 2000
jiong yang, wei wang, philip s. yu,    "journals/datamine/yangwy04"   data min. knowl. discov., 2004
wei wang, jiong yang,    "journals/tkde/wangy05"   ieee trans. knowl. data eng., 2005
jiong yang, wei wang, philip s. yu,    "journals/tkde/yangwy03"   ieee trans. knowl. data eng., 2003
wei wang, jiong yang, richard r. muntz,    "journals/tkde/wangym00"   ieee trans. knowl. data eng., 2000
philip s. yu, wei wang, jiong yang,    "journals/kais/wangyy04"   knowl. inf. syst., 2004
jiong yang, wei wang, philip s. yu,    "journals/kais/yangwy04"   knowl. inf. syst., 2004
richard r. muntz, wei wang, silvia nittel, jiong yang,    "conf/icdcs/yangwmn00"   icdcs, 2000
richard r. muntz, jiong yang, wei wang, silvia nittel,    "journals/spe/yangwnmb00"   softw., pract. exper., 2000
jun huan, deepak bandyopadhyay, wei wang, jack snoeyink, jan prins, alexander tropsha,    "journals/jcb/huanbwspt05"   journal of computational biology, 2005
jingdan zhang, wei wang, leonard mcmillan,    "conf/sigmod/liuzwm05"   sigmod conference, 2005
naga k. govindaraju, brandon lloyd, wei wang, ming c. lin, dinesh manocha,    "conf/sigmod/govindarajulwlm04"   sigmod conference, 2004
dean duncan, hye-chung kum, wei wang, kimberly flair,    "conf/dgo/duncankfw04"   dg.o, 2004
dean duncan, kimberly flair, hye-chung kum, wei wang,    "conf/dgo/duncankfw04a"   dg.o, 2004
kimberly flair, wei wang, dean duncan,    "conf/dgo/kumdfw03a"   dg.o, 2003
wei wang, kimberly flair, dean duncan,    "conf/dgo/kumdfw03"   dg.o, 2003
hye-chung kum, wei wang, dean duncan,    "conf/dgo/kumdw04"   dg.o, 2004
hye-chung kum, wei wang, dean duncan, jian pei,    "conf/sdm/kimpwd03"   sdm, 2003

Cluster 1, 31 tuples (Fudan)
wei wang, jian pei, jiawei han,    "conf/cikm/peihw02"   cikm, 2002
haixun wang, wei wang, baile shi, peng wang,    "conf/icdm/wangwwws05"   icdm, 2005
yongtai zhu, wei wang, jian pei, baile shi, chen wang,    "conf/kdd/wangwpzs04"   kdd, 2004
zunping cheng, haofeng zhou, baile shi, chen wang, wei wang,    "conf/dasfaa/zhoucwzws04"   dasfaa, 2004
