Name,Occurrence,Ambig 3,Ambig 2,Ambig 1,Ambig 0
wei wang,237,49.434480648367,43.3913987369326,42.72,42.72
wei li,222,42.2387527226949,37.549982860366,30.42,30.42
wei zhang,127,40.5193730910721,35.895556862044,28.8733466403668,28.32
wei chen,86,37.1437070235644,32.983765898613,26.1147432164516,15.42
jun wang,128,34.227502537027,30.3601827366335,24.6490547755743,21.6
wei liu,89,32.7567421312975,29.2031220896994,23.4561983410637,15.78
li wang,48,30.9795090754996,27.7804886980352,22.3022638731583,15.12
jun li,74,29.2453161642481,26.2730489125218,21.7274864842093,18.54
jun zhang,131,28.0548501184512,25.115476741645,21.0327053721994,18.42
hong wang,79,27.4116458109442,24.6391480530032,19.0641884470374,5.34
li li,83,26.4701035825232,24.0406371960517,23.52,23.52
jun chen,43,25.7176025662492,23.0781488768164,19.0232087323872,11.88
li zhang,149,25.3926059289932,22.9814235250022,22.26,22.26
jie wang,83,24.9952392164144,22.2645515639209,17.6861850703876,10.92
yong wang,58,24.9509392263714,22.4283607298045,17.7977893933558,17.58
jian wang,64,24.7737352443266,22.4923592197002,18.5542186934741,16.26
hui zhang,148,24.6,24.6,24.6,24.6
ying wang,30,23.4500135135865,21.1182573065625,17.4102743830493,10.56
hong li,21,23.4215817369736,21.3221885907265,16.8045752904849,8.1
yi wang,42,23.2946633451214,20.5121720931394,16.0446714867293,9.54
li chen,87,23.2771497493668,21.1172066915912,17.2120442234679,14.88
jing wang,60,22.8449323004433,20.3106955519383,16.7669994659406,14.7
jun liu,59,22.6801507712565,20.4329002735939,17.0865994511954,13.56
hong zhang,71,22.4681778606015,21.72,21.72,21.72
lei wang,96,22.3378589567142,20.1336827702415,19.56,19.56
jian chen,70,21.42,21.42,21.42,21.42
jie li,62,21.3569094821998,19.2672638807417,15.5899019484863,9.18
yong li,26,21.3190578389641,19.4090208083898,15.6882781921577,7.32
feng wang,36,21.2569765243982,19.1734646703077,15.1006849216227,10.26
yan wang,66,21.2391381825121,19.1200812934009,15.7346594784841,14.88
jian li,52,21.167647829576,19.4644037245581,16.3550505103751,12.42
yu wang,82,21.098962749955,19.1670205118652,15.2727415861988,13.32
tao wang,56,21.0644281859163,19.1363147401231,15.4788995716819,13.08
hong chen,61,20.5963555737095,18.7293315029691,14.7130200100384,13.02
wei yang,9,20.5447005132621,18.6596217461059,15.3372002569295,4.86
li liu,40,20.5279346891218,18.6967239309047,15.4598159290529,12.42
jie zhang,58,20.4875505927652,18.4183617014953,15.0913827378188,11.94
yong zhang,52,20.4512397465514,18.5538729179958,15.1866131985658,15.12
wei wu,50,20.3064104730538,18.3888377135748,14.9076478322032,12.72
jian zhang,101,20.3059930651354,18.6068157015891,15.8320640991842,11.16
ying li,71,20.0366082368655,18.2752854940181,15.346694012743,15.12
yi li,38,19.9038709800931,17.7507923908126,14.1429513644856,10.02
jing li,55,19.5196031949615,17.5764389270137,14.7796642749146,14.04
hui wang,104,19.4018924166954,17.7767629135246,15.42,15.42
ying zhang,67,19.2209938100985,17.4700891891225,14.8559518765277,14.58
yi zhang,64,19.0936597842679,16.9687048854366,13.6907013776654,12.66
lei li,54,19.0863399079374,17.423255874329,14.3410701885462,11.94
ming wang,11,18.9465035541124,17.3633742757833,13.8559867085183,1
bin wang,71,18.8637822656963,17.0357001494293,13.6715295636125,12.72
jie chen,50,18.7807342215716,16.9242932470141,13.6495290929781,10.08
yong chen,30,18.7474484293528,17.0488120073405,13.7356610907603,9.72
xin wang,94,18.7415872585027,17.1033291382801,14.2497019589897,12.06
jing zhang,52,18.7250340851416,16.8020333133839,14.3070540819444,13.56
bo wang,21,18.7047827021277,16.9161314824022,13.7133811847256,6.48
jie wu,204,18.48,18.48,18.48,18.48
lei zhang,103,18.3094073054199,16.6555993989294,14.4,14.4
hong liu,79,18.1637634591641,17.28,17.28,17.28
feng li,30,18.1627917046974,16.5923037906379,13.3108523034315,10.56
yan li,44,18.1475499280665,16.546106964856,15.66,15.66
yu li,22,18.0277785588537,16.5867271545738,13.4625156790916,5.16
tao li,79,17.998270877339,16.5601550403717,13.6442384625402,7.74
ying chen,77,17.6196941936733,16.0529431053684,13.8,13.8
yi chen,20,17.5029683564064,15.5922303056875,12.3826709589322,3.54
feng zhang,20,17.4234532513229,15.8612584832308,12.8852103971806,4.92
yan zhang,108,17.4088319096859,15.8170970573025,13.426172320035,7.98
yu zhang,47,17.2939359792445,15.8559275498538,13.0320240241655,10.02
ming li,265,17.28,17.28,17.28,17.28
tao zhang,66,17.2656294436752,15.8305261844301,13.26,13.26
jing chen,27,17.1650528378487,15.4390788687097,12.9401363890223,8.16
qing li,165,17.04,17.04,17.04,17.04
yang wang,61,17.0377260106053,15.9148396322986,13.2142618514508,12
min wang,51,16.8725939301507,15.4450655682872,12.4237312304256,7.56
lei chen,37,16.7840518953506,15.3045234424616,12.5561312322435,8.4
wei huang,49,16.6300404804991,15.1145807851149,12.96,12.96
hui li,52,16.5777353254787,16.2,16.2,16.2
jie liu,52,16.5625813153805,14.9844078900405,12.2599735717607,8.64
